GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,com.urnavirtual.app,AppApplication,5,3,0,0,2,1,1,1,1,1
app,com.urnavirtual.app.controller,VotoController,16,25,0,0,4,5,0,3,0,3
app,com.urnavirtual.app.controller,CandidatoController,21,71,0,0,6,15,0,6,0,6
app,com.urnavirtual.app.controller,EleitorController,40,57,0,0,10,11,0,6,0,6
app,com.urnavirtual.app.service,EleitorService,3,87,4,6,0,22,3,9,0,7
app,com.urnavirtual.app.service,VotoService,30,146,8,10,6,34,8,6,0,5
app,com.urnavirtual.app.service,CandidatoService,65,95,11,6,17,25,11,9,4,7
app,com.urnavirtual.app.entity,Voto,11,0,0,0,4,0,2,0,2,0
app,com.urnavirtual.app.enums,StatusEleitor,0,33,0,0,0,6,0,1,0,1
app,com.urnavirtual.app.enums,StatusCandidato,0,15,0,0,0,3,0,1,0,1
